TransactionID,Date,StoreLocation,ProductCategory,Quantity,UnitValue,TotalRevenue,DeliveryDelayDays,CustomerRating,SentimentLabel
TXN-100140,2024-01-03,Online Flagship,Earrings,1,308.18,308.18,2,5,Positive
TXN-100141,2024-01-03,Melbourne Chadstone,Necklaces & Pendants,1,1542.83,1542.83,0,3,Neutral
TXN-100142,2024-01-03,Brisbane Queen St,Necklaces & Pendants,2,3549.24,7098.48,0,4,Positive
TXN-100143,2024-01-03,Melbourne Chadstone,Necklaces & Pendants,1,588.04,588.04,0,5,Positive
TXN-100144,2024-01-03,Melbourne Chadstone,Earrings,1,1886.3,1886.3,0,5,Positive
TXN-100145,2024-01-03,Sydney CBD,Necklaces & Pendants,2,3429.07,6858.14,0,5,Positive
TXN-100146,2024-01-03,Perth Hay St,Luxury Watches,1,12799.92,12799.92,0,4,Positive
TXN-100147,2024-01-03,Brisbane Queen St,Earrings,1,610.98,610.98,0,4,Positive
TXN-100148,2024-01-03,Sydney CBD,Necklaces & Pendants,1,1911.69,1911.69,0,5,Positive
TXN-100149,2024-01-03,Melbourne Chadstone,Engagement Rings,1,10972.33,10972.33,15,4,Positive
TXN-100150,2024-01-03,Online Flagship,Engagement Rings,1,5178.55,5178.55,2,5,Positive
TXN-100151,2024-01-03,Sydney CBD,Necklaces & Pendants,1,2168.13,2168.13,0,5,Positive
TXN-100152,2024-01-03,Sydney CBD,Necklaces & Pendants,1,4520.54,4520.54,0,4,Positive
TXN-100153,2024-01-03,Brisbane Queen St,Necklaces & Pendants,1,2418.31,2418.31,0,4,Positive
TXN-100154,2024-01-03,Online Flagship,Engagement Rings,1,23018.41,23018.41,4,4,Positive
TXN-100155,2024-01-03,Sydney CBD,Luxury Watches,1,26081.96,26081.96,0,4,Positive
TXN-100156,2024-01-03,Perth Hay St,Engagement Rings,1,18526.97,18526.97,18,4,Positive
TXN-100157,2024-01-03,Online Flagship,Bracelets,1,1917.01,1917.01,4,3,Neutral
TXN-100158,2024-01-03,Sydney CBD,Necklaces & Pendants,1,956.37,956.37,0,5,Positive
TXN-100159,2024-01-03,Online Flagship,Engagement Rings,1,9011.14,9011.14,3,5,Positive
TXN-100160,2024-01-03,Melbourne Chadstone,Earrings,2,1584.81,3169.62,0,4,Positive
TXN-100161,2024-01-03,Perth Hay St,Luxury Watches,1,4051.23,4051.23,0,5,Positive
TXN-100162,2024-01-03,Perth Hay St,Earrings,1,378.78,378.78,0,5,Positive
TXN-100163,2024-01-03,Brisbane Queen St,Luxury Watches,1,5299.59,5299.59,0,4,Positive
TXN-100164,2024-01-03,Sydney CBD,Bracelets,1,1106.95,1106.95,0,5,Positive
TXN-100165,2024-01-03,Online Flagship,Bracelets,1,653.68,653.68,2,4,Positive
TXN-100166,2024-01-03,Melbourne Chadstone,Earrings,1,863.63,863.63,0,5,Positive
TXN-100167,2024-01-03,Sydney CBD,Earrings,1,2117.5,2117.5,0,4,Positive
TXN-100168,2024-01-03,Sydney CBD,Necklaces & Pendants,1,2378.73,2378.73,0,4,Positive
TXN-100169,2024-01-03,Brisbane Queen St,Bracelets,2,2126.78,4253.56,0,5,Positive
TXN-100170,2024-01-03,Perth Hay St,Necklaces & Pendants,1,3558.02,3558.02,0,5,Positive
TXN-100171,2024-01-03,Sydney CBD,Luxury Watches,1,11239.23,11239.23,0,4,Positive
TXN-100172,2024-01-03,Brisbane Queen St,Luxury Watches,1,22670.14,22670.14,0,4,Positive
TXN-100173,2024-01-03,Sydney CBD,Luxury Watches,1,24148.53,24148.53,0,5,Positive
TXN-100174,2024-01-03,Perth Hay St,Earrings,1,1209.1,1209.1,0,5,Positive
TXN-100175,2024-01-04,Sydney CBD,Luxury Watches,1,23274.76,23274.76,0,5,Positive
TXN-100176,2024-01-04,Perth Hay St,Earrings,1,1041.57,1041.57,0,5,Positive
TXN-100177,2024-01-04,Melbourne Chadstone,Necklaces & Pendants,1,3393.49,3393.49,0,5,Positive
TXN-100178,2024-01-04,Online Flagship,Bracelets,1,2925.01,2925.01,1,4,Positive
TXN-100179,2024-01-04,Sydney CBD,Earrings,1,1083.94,1083.94,0,4,Positive
TXN-100180,2024-01-04,Melbourne Chadstone,Earrings,1,1559.59,1559.59,0,3,Neutral
TXN-100181,2024-01-04,Sydney CBD,Earrings,2,1201.96,2403.92,0,5,Positive
TXN-100182,2024-01-04,Online Flagship,Bracelets,1,1693.16,1693.16,1,5,Positive
TXN-100183,2024-01-04,Online Flagship,Engagement Rings,1,11534.28,11534.28,2,5,Positive
TXN-100184,2024-01-04,Melbourne Chadstone,Engagement Rings,1,17845.57,17845.57,11,5,Positive
TXN-100185,2024-01-04,Perth Hay St,Earrings,1,1718.11,1718.11,0,5,Positive
TXN-100186,2024-01-04,Online Flagship,Earrings,1,1058.2,1058.2,1,5,Positive
TXN-100187,2024-01-04,Brisbane Queen St,Necklaces & Pendants,1,1655.88,1655.88,0,5,Positive
TXN-100188,2024-01-04,Brisbane Queen St,Necklaces & Pendants,2,1824.18,3648.36,0,3,Neutral
TXN-100189,2024-01-04,Sydney CBD,Necklaces & Pendants,2,1924.5,3849.0,0,5,Positive
TXN-100190,2024-01-04,Sydney CBD,Luxury Watches,2,7182.2,14364.4,0,5,Positive
TXN-100191,2024-01-04,Online Flagship,Bracelets,2,2756.39,5512.78,3,5,Positive
TXN-100192,2024-01-04,Online Flagship,Necklaces & Pendants,1,4322.84,4322.84,2,5,Positive
TXN-100193,2024-01-04,Perth Hay St,Earrings,1,882.49,882.49,0,4,Positive
TXN-100194,2024-01-04,Melbourne Chadstone,Earrings,1,1656.72,1656.72,0,5,Positive
TXN-100195,2024-01-04,Melbourne Chadstone,Engagement Rings,1,14454.82,14454.82,17,5,Positive
TXN-100196,2024-01-04,Online Flagship,Engagement Rings,2,22402.48,44804.96,2,4,Positive
TXN-100197,2024-01-04,Online Flagship,Necklaces & Pendants,1,1673.06,1673.06,2,5,Positive
TXN-100198,2024-01-04,Online Flagship,Earrings,2,433.79,867.58,1,5,Positive
TXN-100199,2024-01-04,Online Flagship,Necklaces & Pendants,1,1099.12,1099.12,3,5,Positive
TXN-100200,2024-01-04,Perth Hay St,Engagement Rings,1,20695.92,20695.92,14,3,Neutral
TXN-100201,2024-01-04,Sydney CBD,Necklaces & Pendants,1,1647.26,1647.26,0,5,Positive
TXN-100202,2024-01-04,Sydney CBD,Engagement Rings,3,21459.08,64377.240000000005,13,4,Positive
TXN-100203,2024-01-04,Online Flagship,Luxury Watches,2,23020.94,46041.88,3,4,Positive
TXN-100204,2024-01-04,Perth Hay St,Necklaces & Pendants,1,664.22,664.22,0,5,Positive
TXN-100205,2024-01-04,Sydney CBD,Luxury Watches,2,23030.05,46060.1,0,5,Positive
TXN-100206,2024-01-04,Sydney CBD,Earrings,1,1508.32,1508.32,0,5,Positive
TXN-100207,2024-01-04,Perth Hay St,Necklaces & Pendants,1,1117.41,1117.41,0,4,Positive
TXN-100208,2024-01-04,Sydney CBD,Earrings,1,891.84,891.84,0,5,Positive
TXN-100209,2024-01-04,Sydney CBD,Earrings,1,2727.93,2727.93,0,5,Positive
TXN-100210,2024-01-04,Brisbane Queen St,Bracelets,1,1304.12,1304.12,0,5,Positive
TXN-100211,2024-01-04,Perth Hay St,Engagement Rings,1,6944.04,6944.04,11,5,Positive
TXN-100212,2024-01-04,Perth Hay St,Luxury Watches,1,15886.61,15886.61,0,5,Positive
TXN-100213,2024-01-04,Sydney CBD,Bracelets,1,989.68,989.68,0,4,Positive
TXN-100214,2024-01-04,Online Flagship,Bracelets,1,2736.02,2736.02,2,3,Neutral
TXN-100215,2024-01-04,Sydney CBD,Luxury Watches,2,11881.79,23763.58,0,5,Positive
TXN-100216,2024-01-04,Melbourne Chadstone,Luxury Watches,1,16603.62,16603.62,0,4,Positive
TXN-100217,2024-01-04,Online Flagship,Bracelets,1,2613.94,2613.94,2,4,Positive
TXN-100218,2024-01-04,Perth Hay St,Luxury Watches,1,24649.93,24649.93,0,4,Positive
TXN-100219,2024-01-04,Online Flagship,Bracelets,1,2891.83,2891.83,0,4,Positive
TXN-100220,2024-01-04,Perth Hay St,Bracelets,2,692.16,1384.32,0,4,Positive
TXN-100221,2024-01-04,Brisbane Queen St,Luxury Watches,2,10430.33,20860.66,0,4,Positive
TXN-100222,2024-01-04,Sydney CBD,Bracelets,1,2279.16,2279.16,0,4,Positive
TXN-100223,2024-01-04,Melbourne Chadstone,Necklaces & Pendants,1,996.83,996.83,0,3,Neutral
TXN-100224,2024-01-04,Melbourne Chadstone,Earrings,1,1142.12,1142.12,0,5,Positive
TXN-100225,2024-01-04,Sydney CBD,Necklaces & Pendants,1,4731.91,4731.91,0,5,Positive
TXN-100226,2024-01-04,Online Flagship,Engagement Rings,1,10722.72,10722.72,2,4,Positive
TXN-100227,2024-01-04,Melbourne Chadstone,Earrings,1,1393.46,1393.46,0,5,Positive
TXN-100228,2024-01-04,Online Flagship,Luxury Watches,1,4090.05,4090.05,5,4,Positive
TXN-100229,2024-01-05,Perth Hay St,Bracelets,1,2063.86,2063.86,0,5,Positive
TXN-100230,2024-01-05,Online Flagship,Necklaces & Pendants,1,2872.75,2872.75,3,3,Neutral
TXN-100231,2024-01-05,Brisbane Queen St,Engagement Rings,1,30060.89,30060.89,16,4,Positive
TXN-100232,2024-01-05,Brisbane Queen St,Luxury Watches,1,22180.51,22180.51,0,5,Positive
TXN-100233,2024-01-05,Brisbane Queen St,Bracelets,1,952.28,952.28,0,4,Positive
TXN-100234,2024-01-05,Sydney CBD,Necklaces & Pendants,1,4330.7,4330.7,0,4,Positive
TXN-100235,2024-01-05,Online Flagship,Bracelets,1,2948.03,2948.03,6,3,Neutral
TXN-100236,2024-01-05,Melbourne Chadstone,Luxury Watches,2,22463.98,44927.96,0,3,Neutral
TXN-100237,2024-01-05,Sydney CBD,Necklaces & Pendants,2,4350.14,8700.28,0,5,Positive
TXN-100238,2024-01-05,Perth Hay St,Bracelets,1,1887.24,1887.24,0,5,Positive
TXN-100239,2024-01-05,Sydney CBD,Engagement Rings,3,27119.32,81357.95999999999,16,4,Positive
TXN-100240,2024-01-05,Online Flagship,Necklaces & Pendants,1,3652.95,3652.95,4,5,Positive
TXN-100241,2024-01-05,Online Flagship,Bracelets,1,863.4,863.4,4,4,Positive
TXN-100242,2024-01-05,Online Flagship,Earrings,1,2450.45,2450.45,4,5,Positive
TXN-100243,2024-01-05,Melbourne Chadstone,Earrings,1,955.88,955.88,0,4,Positive
TXN-100244,2024-01-05,Sydney CBD,Bracelets,1,1911.64,1911.64,0,5,Positive
TXN-100245,2024-01-05,Online Flagship,Necklaces & Pendants,1,2692.7,2692.7,3,3,Neutral
TXN-100246,2024-01-05,Melbourne Chadstone,Bracelets,2,2575.29,5150.58,0,4,Positive
TXN-100247,2024-01-05,Online Flagship,Earrings,2,1324.54,2649.08,1,4,Positive
TXN-100248,2024-01-05,Online Flagship,Earrings,1,1211.78,1211.78,5,5,Positive
TXN-100249,2024-01-05,Online Flagship,Luxury Watches,1,10783.65,10783.65,3,4,Positive
TXN-100250,2024-01-05,Melbourne Chadstone,Bracelets,1,2699.59,2699.59,0,5,Positive
TXN-100251,2024-01-05,Melbourne Chadstone,Earrings,1,2173.57,2173.57,0,4,Positive
TXN-100252,2024-01-05,Online Flagship,Necklaces & Pendants,1,2216.35,2216.35,0,5,Positive
TXN-100253,2024-01-05,Melbourne Chadstone,Earrings,1,1214.42,1214.42,0,4,Positive
TXN-100254,2024-01-05,Sydney CBD,Necklaces & Pendants,1,1382.35,1382.35,0,4,Positive
TXN-100255,2024-01-05,Brisbane Queen St,Earrings,1,1407.07,1407.07,0,4,Positive
TXN-100256,2024-01-05,Online Flagship,Bracelets,1,1283.0,1283.0,4,3,Neutral
TXN-100257,2024-01-05,Perth Hay St,Engagement Rings,1,17180.06,17180.06,7,5,Positive
TXN-100258,2024-01-05,Brisbane Queen St,Bracelets,1,909.01,909.01,0,4,Positive
TXN-100259,2024-01-05,Sydney CBD,Engagement Rings,2,25806.13,51612.26,13,4,Positive
TXN-100260,2024-01-05,Perth Hay St,Necklaces & Pendants,1,2244.33,2244.33,0,5,Positive
TXN-100261,2024-01-05,Online Flagship,Necklaces & Pendants,1,4125.82,4125.82,2,4,Positive
TXN-100262,2024-01-05,Sydney CBD,Necklaces & Pendants,1,2425.27,2425.27,0,5,Positive
TXN-100263,2024-01-05,Brisbane Queen St,Earrings,1,2034.41,2034.41,0,3,Neutral
TXN-100264,2024-01-05,Online Flagship,Bracelets,1,1946.39,1946.39,1,5,Positive
TXN-100265,2024-01-05,Online Flagship,Necklaces & Pendants,1,4095.12,4095.12,3,4,Positive
TXN-100266,2024-01-05,Perth Hay St,Engagement Rings,1,30796.03,30796.03,12,5,Positive
TXN-100267,2024-01-05,Online Flagship,Earrings,1,2201.05,2201.05,3,4,Positive
TXN-100268,2024-01-05,Melbourne Chadstone,Earrings,1,2452.02,2452.02,0,3,Neutral
TXN-100269,2024-01-05,Melbourne Chadstone,Bracelets,1,681.79,681.79,0,4,Positive
TXN-100270,2024-01-05,Online Flagship,Luxury Watches,1,9104.35,9104.35,4,4,Positive
TXN-100271,2024-01-05,Online Flagship,Bracelets,1,400.35,400.35,7,3,Neutral
TXN-100272,2024-01-05,Online Flagship,Necklaces & Pendants,1,3725.72,3725.72,2,5,Positive
TXN-100273,2024-01-05,Online Flagship,Luxury Watches,1,18323.5,18323.5,1,5,Positive
TXN-100274,2024-01-05,Brisbane Queen St,Bracelets,1,2819.54,2819.54,0,4,Positive
TXN-100275,2024-01-05,Brisbane Queen St,Luxury Watches,1,18575.39,18575.39,0,5,Positive
TXN-100276,2024-01-05,Online Flagship,Earrings,1,429.7,429.7,3,4,Positive
